url,title,content,category
http://index.hr/vijesti/clanak/americki-doordash-kupuje-wolt-za-sedam-milijardi-eura/2317309.aspx,americki-doordash-kupuje-wolt-za-sedam-milijardi-eura,"AMERIČKA kompanija za dostavu hrane DoorDash objavila je da će kupiti finski Wolt kako bi proširila poslovanje na Europu u razdoblju normalizacije potražnje nakon pandemijskog buma.
Potražnja za uslugama dostave hrane snažno je ojačala u pandemiji covida-19, ali bi se trebala stabilizirati sljedećih mjeseci, pripremajući teren za konsolidaciju u sektoru koji teško dolazi do dobiti, ističe Reuters.
Transakcija od sedam milijardi eura
Američki Doordash dogovorio je kupnju Wolta u transakciji vrijednoj sedam milijardi eura, nudeći dioničarima finske tvrtke vlastite dionice. Vrijednost DoorDashovih dionica koje će biti izdane u sklopu ",vijesti
http://index.hr/sport/clanak/ancic-o-bolesti-koja-mu-je-unistila-karijeru-godinu-dana-sam-lezao-u-krevetu/2317125.aspx,ancic-o-bolesti-koja-mu-je-unistila-karijeru-godinu-dana-sam-lezao-u-krevetu,"MARIO ANČIĆ je na vrhuncu karijere bio jedna od najvećih nada u svijetu tenisa. Osvojio je broncu na Olimpijskim igrama i Davis cup, a 2006. godine bio je sedmi igrač svijeta.
Ipak, profesionalna teniska karijera propala mu je zbog teške bolesti. U razgovoru za HRT-ovu emisiju U svojem filmu opisao je najteže trenutke u životu.
""Život vam podijeli karte. To sam podnio kao sportaš""
Ančić posljednjih 8 godina živi i radi u SAD-u i to na Wall Streetu. U Hrvatskoj je završio Pravni fakultet, a na Columbusu je i doktorirao. 
 ",sport
http://index.hr/vijesti/clanak/ap-u-mrtvacnici-rumunjske-bolnice-vise-nema-mjesta-za-mrtve-tijela-su-po-hodniku/2317226.aspx,ap-u-mrtvacnici-rumunjske-bolnice-vise-nema-mjesta-za-mrtve-tijela-su-po-hodniku,"MRTVAČNICA u glavnoj rumunjskoj bolnici više nema mjesta za mrtve, a tijela zamotana u crne vreće nižu se u hodniku bolnice u Bukureštu, piše AP.
Stotine ljudi umiru svaki dan posljednja dva mjeseca u Rumunjskoj koja je bila među najteže pogođenim zemljama u ovom valu virusa. Posebno je u ovom valu pogođena istočna Europa u kojoj je cijepljeno mnogo manje ljudi nego na zapadu Europe.
",vijesti
http://index.hr/sport/clanak/bivse-nba-i-nfl-zvijezde-boksaju-u-predborbi-za-jakea-paula/2317189.aspx,bivse-nba-i-nfl-zvijezde-boksaju-u-predborbi-za-jakea-paula,"YOUTUBER Jake Paul 18. prosinca boksat će protiv Tommyja Furyja, brata puno poznatijeg svjetskog prvaka Tysona, a u jednoj od predborbi sučelit će se bivše superzvijezde NBA lige i NFL-a Deron Williams i Frank Gore.
Trostruki All-Star igrač i dvostruki olimpijski prvak
.",sport
http://index.hr/sport/clanak/braca-jokic-vs-braca-morris-rat-s-parketa-presao-na-twitter/2317161.aspx,braca-jokic-vs-braca-morris-rat-s-parketa-presao-na-twitter,"BRUTALNI napad Nikole Jokića na Markieffa Morrisa, igrača Miami Heata, nevjerojatno je eskalirao. �vo je Morris napravio nesportski prekršaj na srpskom centru, a ovaj je divljački uzvratio. S leđa je žestoko nasrnuo na Morrisa i udario ga cijelim tijelom te ga doslovno složio na parket, gdje se ovaj previjao dulje vremena.
""Nisam trebao ovako reagirati. Osjećam se loše zbog toga, ali dobio sam udarac ranije. Morao sam se zaštititi"", branio se Jokić kasnije.
Nikola Jokic clobbers Markieff Morris from behind late in the fourth quarter and things get intense. pic.twitter.com/9RclknqIKB",sport
